urlDrugName;rating;effectiveness;sideEffects;condition
enalapril;4;4;3;management of congestive heart failure
ortho-tri-cyclen;1;4;1;birth prevention
ponstel;10;4;4;menstrual cramps
prilosec;3;1;3;acid reflux
lyrica;2;1;1;fibromyalgia
propecia;1;0;1;hair loss
vyvanse;9;4;3;add
elavil;10;3;4;depression
xanax;10;4;4;panic disorder
claritin;1;0;0;allergies
flagyl;7;3;2;bacterial vaginosis
dextroamphetamine;8;4;2;add
sarafem;8;3;3;depression
latisse;9;3;3;sparse eyelashes
aldara;4;3;1;skin cancer
effexor-xr;8;4;4;anxiety
neurontin;6;2;4;nerve disorder
omnicef;1;1;1;sore throat ear infections
klonopin;8;3;3;generalized anxiety disorder
dovonex;6;2;4;psoriasis
protopic;8;4;2;ezcema
effexor;9;3;3;panic attacks and depression
sotret;10;4;2;acne
retin-a-micro;8;2;2;anti-aging, acne
lamotrigine;9;3;3;epilpsy
rebif;6;3;2;multiple sclerosis
symbicort;10;4;4;asthma, emphysema
lamictal;8;3;3;bipolar disorder and depression
lyrica;1;1;1;fibromyalgia, failed back syndrome
doxycycline;8;3;3;acne
vyvanse;8;3;3;adhd
actonel;7;1;3;osteoporosis
provigil;7;2;3;fatigue
ambien;8;3;3;insomnia
wellbutrin;10;4;3;depression
propecia;8;2;3;male pattern baldness
nortriptyline;3;2;1;a typical migraines
imitrex;10;4;3;migraine headaches
ativan;9;3;4;anxiety
doxycycline;10;4;4;severe peridontal disease
prozac;7;3;3;depression
topamax;6;4;3;seizures,migraines,fibro.
levitra;10;4;4;ed
oxycodone;7;3;3;possible lymphoma/kidney pain
lamictal;8;4;4;seizure disorder
oxycontin;7;3;3;post surgical pain
vicodin;8;3;3;broken collarbone
accutane;9;4;2;acne
zocor;10;4;3;high cholestoral
aldara;10;3;4;basal cell carcinoma
ortho-tri-cyclen;10;4;4;birth control
minocycline;6;1;4;treatment of acne
estrace;10;4;3;replacement thearpy
meridia;10;4;3;over weight
sotret;8;4;2;acne
prevacid;10;4;4;stomach pain
cosopt;9;3;3;glaucoma
renova;6;2;2;sun damage & fine lines
depakote;4;4;1;seizure disorder
tekturna;10;4;3;hypertension
renova;10;4;3;wrinkles
zegerid;1;2;1;acid reflux
sular;9;2;4;mild depression
crestor;10;4;4;high cholesterol
metformin;9;4;4;anti-aging prophilatic
celexa;6;3;2;depression/ anxiety
lexapro;6;2;3;depression
naproxen;6;2;3;auto accident, severe whiplash
levoxyl;8;3;3;low thyroid levels
synthroid;9;4;4;hypothyroidism
spironolactone;6;3;2;acne
minocycline;10;4;4;acne
oracea;7;3;2;acne
paxil;8;3;3;depression/anxiety
zantac;10;4;4;heratburn
fosamax;8;3;4;a little bit of osteoporosis in the hips
prevacid;10;4;4;gerd
tirosint;5;1;4;tsh level was low no clinical symtoms
cymbalta;2;3;1;anxiety/ pain
ambien-cr;8;3;3;insomnia
angeliq;7;3;4;menopause for 2 years, first hormone pill taken
imitrex;10;4;4;migraine headaches
prempro;10;4;4;migraines
lexapro;5;2;2;depression and generalized anxiety
latisse;10;3;3;sparse eyelashes
wellbutrin-xl;8;3;3;depression
biaxin;8;3;3;pneumonia
zantac;10;4;4;acid reflux
spironolactone;6;2;3;facial hair
lipitor;3;1;4;high colorestoral
omnicef;3;4;0;sore throat
tazorac;6;2;2;antiaging
alendronate;10;4;3;osteopenia
vyvanse;7;4;2;fun
claripel-cream;8;3;2;discoloration
valtrex;9;3;4;cold sore/fever blister (herpes-simplex)
femring;10;4;4;menopause
neurontin;1;0;2;severe neck pain lasting 8-9 mons
soma;5;4;2;back injury
lipitor;5;2;2;high cholesterol
tylenol;3;2;3;pain
ultram;2;2;3;ovarian cysts/sciatic nerve
